Candidat;Voix;Pourcentage Voix;Temps Parole (secondes);Temps Parole (HH:MM:SS);Ratio (s/voix);Période;Source Temps Parole;Source Résultats
CHEMINADE Jacques;65586;0.18;123151;34:12:31;1.877703;1er février au 21 avril 2017;CSA via politologue.com;Conseil constitutionnel
ARTHAUD Nathalie;232384;0.64;151184;41:59:44;0.650578;1er février au 21 avril 2017;CSA via politologue.com;Conseil constitutionnel
HAMON Benoît;2291288;6.36;1022765;284:06:05;0.446371;1er février au 21 avril 2017;CSA via politologue.com;Conseil constitutionnel
ASSELINEAU François;332547;0.92;144563;40:09:23;0.434714;1er février au 21 avril 2017;CSA via politologue.com;Conseil constitutionnel
POUTOU Philippe;394505;1.09;163541;45:25:41;0.414547;1er février au 21 avril 2017;CSA via politologue.com;Conseil constitutionnel
LASSALLE Jean;435301;1.21;135173;37:32:53;0.310528;1er février au 21 avril 2017;CSA via politologue.com;Conseil constitutionnel
FILLON François;7212995;20.01;1178862;327:27:42;0.163436;1er février au 21 avril 2017;CSA via politologue.com;Conseil constitutionnel
DUPONT-AIGNAN Nicolas;1695000;4.70;246262;68:24:22;0.145287;1er février au 21 avril 2017;CSA via politologue.com;Conseil constitutionnel
LE PEN Marine;7678491;21.30;926833;257:27:13;0.120705;1er février au 21 avril 2017;CSA via politologue.com;Conseil constitutionnel
MACRON Emmanuel;8656346;24.01;944938;262:28:58;0.109161;1er février au 21 avril 2017;CSA via politologue.com;Conseil constitutionnel
MÉLENCHON Jean-Luc;7059951;19.58;674990;187:29:50;0.095608;1er février au 21 avril 2017;CSA via politologue.com;Conseil constitutionnel
